Date,Price,Market Cap,Volume
2022-05-05,39699.02404125388,755764276889,31748901527
2022-05-06,36612.229548803036,696020943882,37402043366
2022-05-07,36116.394294982965,687093350325,32223287014
2022-05-08,35573.31019883488,678702448511,19130720395
2022-05-09,34070.31219757961,648514321642,30810576502
2022-05-10,30269.586956629482,576197842488,58369928594
2022-05-11,31026.93386836242,590644412747,54071363210
2022-05-12,28913.48836365432,549294001873,65985702702
